filename,file_size,num_sections,num_imported_functions,num_suspicious_imports,num_exported_functions,has_signature,avg_section_entropy,label
hexdump,136160,9,54,0,1,1,2.911107075405129,0
ncal,135776,9,46,0,1,1,3.174037503883153,0
ldapdelete,754512,14,248,3,1,1,2.959087492089643,0
captoinfo,221392,9,109,0,1,1,3.1246159547102,0
system-override,345728,24,131,3,1,1,2.7882765950422086,0
codecctl,192896,12,121,0,1,1,3.092880211041805,0
agentxtrap,120944,7,63,1,1,1,2.9713985087060695,0
javac,135664,11,35,0,1,1,2.967061289411817,0
chsh,140320,10,113,0,1,1,3.02051454431328,0
pcsctest,101776,5,19,2,1,1,3.2136264877233236,0
locale,189216,11,70,0,1,1,3.198500157123604,0
ssh-agent,627456,12,227,10,1,1,3.1535704454004456,0
syslog,191216,8,138,2,1,1,3.396783380649623,0
fsck_cs,342080,14,159,0,1,1,3.2652030913678565,0
drutil,588368,26,370,8,1,1,2.774250891400092,0
snmpgetnext,102336,5,27,0,1,1,3.475777878799898,0
xip,137008,13,43,0,1,1,3.0610433183588324,0
macoserror,101248,6,10,0,1,1,3.4139206465036867,0
swiftc,118848,10,13,0,1,1,2.23610416522408,0
clang++,118848,10,13,0,1,1,2.23610416522408,0
osalang,101504,7,15,0,1,1,2.7113541443995133,0
chflags,101648,10,22,1,1,1,2.608530005638881,0
chmod,120784,12,71,4,1,1,2.531811920260571,0
afclip,171232,13,65,1,11,1,3.1375452518944837,0
logger,118144,7,20,0,1,1,3.5039691032789757,0
db_dump,2059104,11,132,6,1,1,3.320632852677232,0
batch,170832,10,94,1,1,1,3.102731411107966,0
ncdestroy,135248,7,32,0,1,1,2.8173944940639655,0
zipsplit,238480,10,59,1,1,1,3.0053169257424863,0
seq,134832,9,26,0,1,1,2.790157249575456,0
snmpdelta,137008,9,56,0,1,1,2.2785592132871115,0
iconv,102304,6,34,0,1,1,3.1690391703079044,0
nclist,135248,7,32,0,1,1,2.8173944940639655,0
desdp,118912,10,12,0,1,1,2.1561904087499904,0
unzip,436976,10,102,3,103,1,3.020408149697866,0
libtool,118848,10,13,0,1,1,2.23610416522408,0
as,118848,10,13,0,1,1,2.23610416522408,0
pax,304688,11,135,3,1,1,3.1288540105543734,0
xcode-select,119104,6,34,0,1,1,3.2704744051328967,0
afscexpand,564800,12,59,2,1,1,3.290250062479547,0
find,171280,10,98,0,1,1,2.981224631288948,0
lsbom,136704,7,50,0,1,1,2.794750737544771,0
shazam,1062976,26,619,1,1,1,3.3523750752207295,0
xmllint,212512,8,201,0,1,1,3.140117363866469,0
osacompile,141024,11,116,1,1,1,3.2715229119074634,0
mkbom,135680,6,38,0,1,1,2.9601119182247206,0
swift-inspect,1885824,28,800,0,1,1,3.3718841348281203,0
wdutil,254080,20,61,0,1,1,2.73134589866599,0
parldyn,170704,10,65,0,18,1,2.9892057586776293,0
xxd,134992,9,30,0,1,1,3.2895297559405123,0
csh,1108448,11,651,11,1108,1,3.2177426216463414,0
snmptest,136272,7,46,0,1,1,3.0096891362004485,0
snmpbulkwalk,135680,7,34,0,1,1,2.6689055725230135,0
mount,171792,16,90,0,1,1,2.7289354685714087,0
afinfo,226288,16,156,3,11,1,3.0742157210563503,0
umtool,204288,22,57,0,1,1,2.8164819591394554,0
avmediainfo,244192,18,141,0,1,1,2.9021580234055953,0
clangd,118848,10,13,0,1,1,2.23610416522408,0
newfs_fskit,137696,12,46,0,1,1,3.3076728519309255,0
sha512sum,136576,10,62,0,1,1,3.059982441901543,0
mailx,270880,11,115,2,1,1,2.88683135873463,0
top,241200,11,138,2,1,1,2.8683860133650945,0
reset,136256,8,56,0,1,1,3.134021717819046,0
DeRez,118848,10,13,0,1,1,2.23610416522408,0
swift,118848,10,13,0,1,1,2.23610416522408,0
unvis,101376,6,15,0,1,1,3.7521447198700137,0
sha384sum,136576,10,62,0,1,1,3.059982441901543,0
usdextract,827088,9,116,2,88,1,4.069828211255971,0
dserr,100944,6,5,0,1,1,3.355354725460849,0
nice,101472,6,17,0,1,1,3.5802374371673316,0
tmdiagnose,341936,25,152,9,1,1,2.9662407350708033,0
bzip2recover,101600,7,19,0,1,1,3.2084226099326187,0
ldapsearch,823904,14,285,4,1,1,2.9821793687901312,0
lskq,135360,9,35,0,1,1,2.723848239864407,0
symbolscache,294720,14,162,6,3,1,3.1588999735064975,0
SplitForks,118848,10,13,0,1,1,2.23610416522408,0
link,102080,10,30,1,1,1,2.658179358530454,0
id,102192,7,32,0,1,1,3.352589352004359,0
hdid,100848,5,3,0,1,1,2.848101668562431,0
ssh,1474224,16,465,20,1,1,3.130124045977622,0
which,101456,7,17,0,1,1,3.1089201120399723,0
jhsdb,135664,11,35,0,1,1,2.967061289411817,0
llvm-gcc,118848,10,13,0,1,1,2.23610416522408,0
tset,136256,8,56,0,1,1,3.134021717819046,0
jdb,135664,11,35,0,1,1,2.967061289411817,0
defaults,178544,12,82,1,1,1,3.2110735260645953,0
mandoc_soelim,103248,6,26,0,3,1,2.9308227298003726,0
nettop,212576,10,189,4,1,1,2.497447519113707,0
gcc,118848,10,13,0,1,1,2.23610416522408,0
shutdown,137552,8,77,1,1,1,3.0321361841049814,0
colldef,202048,11,54,0,1,1,2.6282452241122196,0
jarsigner,135664,11,35,0,1,1,2.967061289411817,0
filtercalltree,191712,20,123,0,1,1,3.10548487938329,0
md5sum,136576,10,62,0,1,1,3.059982441901543,0
dsymutil,118848,10,13,0,1,1,2.23610416522408,0
perl,101840,7,20,0,2,1,2.6782571262997505,0
zipnote,221840,10,57,1,1,1,2.99833811322556,0
gperf,118848,10,13,0,1,1,2.23610416522408,0
lpoptions,119488,11,44,2,1,1,2.5085160280056376,0
zsh,1344816,11,191,4,1058,1,3.119378271311375,0
mcxquery,261296,21,177,6,1,1,2.7206299860985377,0
pagestuff,118848,10,13,0,1,1,2.23610416522408,0
mount_smbfs,195392,10,110,4,29,1,3.5314310218465805,0
keytool,135664,11,35,0,1,1,2.967061289411817,0
join,135216,9,35,0,1,1,2.6613368692883714,0
GetFileInfo,118848,10,13,0,1,1,2.23610416522408,0
db_upgrade,2058992,11,131,6,1,1,3.3228380915975295,0
jstack,135664,11,35,0,1,1,2.967061289411817,0
profiles,434160,24,256,6,1,1,2.882422393851639,0
cat,119040,7,41,2,1,1,3.2668949294656136,0
sha1,136576,10,62,0,1,1,3.059982441901543,0
cmpdylib,118848,10,13,0,1,1,2.23610416522408,0
tops,268336,23,46,0,1,1,2.705667115667654,0
zipinfo,436976,10,102,3,103,1,3.020408149697866,0
egrep,153824,10,76,0,1,1,2.8160263793393283,0
